"","Technology","usage"
"1218","CHP",35
"1219","Fuel_Cell",42.5
"1220","Fuel_Cell",35
"1221","Solar",155
"1222","Solar",117.5
"1223","Solar",290
"1224","Solar",285
"1225","Solar",135
"1226","Solar",27.5
"1227","Battery",42.5
"1228","Battery",32.5
"1229","Battery",77.5
"1230","Battery",75
"1231","Battery",35
"1232","Battery",11
"1233","CHP",40
"1234","CHP",27.5
"1235","CHP",70
"1236","CHP",70
"1237","CHP",35
"1238","CHP",4
"1239","Fuel_Cell",40
"1240","Fuel_Cell",27.5
"1241","Fuel_Cell",70
"1242","Fuel_Cell",70
"1243","Fuel_Cell",35
"1244","Fuel_Cell",0
"1245","Solar",545
"1246","Solar",540
"1247","Solar",140
