"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex..Lifetime.Benefit","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","usage","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","Type","weighted_sum"
"80","09557- AUGUSTA - MARKETPLACE","ME","US","13 MARKETPLACE DR., AUGUSTA, ME, 4330",0.246,3.6,537300,"2671420.795","0.15","21396.90314","494729.2006",25,828688.9388,252971.9829,NA,NA,NA,411.25,"Fuel_Cell",195.975683890577
"81","09820-DC - FREDERICK","MD","US","5541 URBANA PIKE, FREDERICK, MD, 21704",0.243,3.6,653400,"3199235.773","0.15","24335.79084","562282.2981",120,982478.8129,287514.1951,NA,NA,NA,498.75,"Solar",157.209022556391
"82","06706-YUBA CITY","CA","US","1120 HARTER RD, YUBA CITY, CA, 95993",0.243,3.6,747900,"3600560.044","0.15","28311.63487","653396.0258",135,1093189.657,334103.7644,NA,NA,NA,572.5,"Solar",176.360698689956
"83","09820-DC - FREDERICK","MD","US","5541 URBANA PIKE, FREDERICK, MD, 21704",0.243,3.6,653400,"3199235.773","0.15","24335.79084","562282.2981",32.5,982478.8129,287514.1951,NA,NA,NA,498.75,"Battery",63.8661654135338
"84","06706-YUBA CITY","CA","US","1120 HARTER RD, YUBA CITY, CA, 95993",0.243,3.6,747900,"3600560.044","0.15","28311.63487","653396.0258",35,1093189.657,334103.7644,NA,NA,NA,572.5,"Battery",68.5847161572052
"85","09820-DC - FREDERICK","MD","US","5541 URBANA PIKE, FREDERICK, MD, 21704",0.243,3.6,653400,"3199235.773","0.15","24335.79084","562282.2981",30,982478.8129,287514.1951,NA,NA,NA,498.75,"CHP",196.511278195489
"86","06706-YUBA CITY","CA","US","1120 HARTER RD, YUBA CITY, CA, 95993",0.243,3.6,747900,"3600560.044","0.15","28311.63487","653396.0258",35,1093189.657,334103.7644,NA,NA,NA,572.5,"CHP",228.615720524017
"87","09820-DC - FREDERICK","MD","US","5541 URBANA PIKE, FREDERICK, MD, 21704",0.243,3.6,653400,"3199235.773","0.15","24335.79084","562282.2981",30,982478.8129,287514.1951,NA,NA,NA,498.75,"Fuel_Cell",235.813533834586
"88","06706-YUBA CITY","CA","US","1120 HARTER RD, YUBA CITY, CA, 95993",0.243,3.6,747900,"3600560.044","0.15","28311.63487","653396.0258",35,1093189.657,334103.7644,NA,NA,NA,572.5,"Fuel_Cell",274.338864628821
"89","09819-SLC - LAYTON","UT","US","1804 N WOODLAND PARK DR, LAYTON, UT, 84041",0.24,3.7,649350,"3114503.842","0.15","23150.5923","534233.5368",117.5,943202.4748,273171.9029,NA,NA,NA,496.25,"Solar",153.750377833753
"90","09819-SLC - LAYTON","UT","US","1804 N WOODLAND PARK DR, LAYTON, UT, 84041",0.24,3.7,649350,"3114503.842","0.15","23150.5923","534233.5368",32.5,943202.4748,273171.9029,NA,NA,NA,496.25,"Battery",63.7900503778338
"91","09819-SLC - LAYTON","UT","US","1804 N WOODLAND PARK DR, LAYTON, UT, 84041",0.24,3.7,649350,"3114503.842","0.15","23150.5923","534233.5368",30,943202.4748,273171.9029,NA,NA,NA,496.25,"CHP",196.277078085642
"92","09819-SLC - LAYTON","UT","US","1804 N WOODLAND PARK DR, LAYTON, UT, 84041",0.24,3.7,649350,"3114503.842","0.15","23150.5923","534233.5368",30,943202.4748,273171.9029,NA,NA,NA,496.25,"Fuel_Cell",235.532493702771
"93","01591-BAKERSFIELD - ROSEDALE","CA","US","9350 ROSEDALE HWY, BAKERSFIELD, CA, 93312",0.235,3.7,766800,"3545904.685","0.15","27321.56693","629334.6297",140,1046342.5,321800.3486,NA,NA,NA,585,"Solar",183.507692307692
"94","01591-BAKERSFIELD - ROSEDALE","CA","US","9350 ROSEDALE HWY, BAKERSFIELD, CA, 93312",0.235,3.7,766800,"3545904.685","0.15","27321.56693","629334.6297",40,1046342.5,321800.3486,NA,NA,NA,585,"Battery",78.6461538461539
"95","01591-BAKERSFIELD - ROSEDALE","CA","US","9350 ROSEDALE HWY, BAKERSFIELD, CA, 93312",0.235,3.7,766800,"3545904.685","0.15","27321.56693","629334.6297",35,1046342.5,321800.3486,NA,NA,NA,585,"CHP",229.384615384615
"96","01591-BAKERSFIELD - ROSEDALE","CA","US","9350 ROSEDALE HWY, BAKERSFIELD, CA, 93312",0.235,3.7,766800,"3545904.685","0.15","27321.56693","629334.6297",35,1046342.5,321800.3486,NA,NA,NA,585,"Fuel_Cell",275.261538461538
"97","S JOSE MILPITAS","CA","US","15 RANCH DR, SANTA CLARA, CA, 95035",0.234,3.7,107460,"485427.5942","0.15","3451.377066","78310.0315",35,140755.753,40042.60094,NA,NA,NA,79.25,"Solar",47.4586750788643
"98","S JOSE MILPITAS","CA","US","15 RANCH DR, SANTA CLARA, CA, 95035",0.234,3.7,107460,"485427.5942","0.15","3451.377066","78310.0315",14.5,140755.753,40042.60094,NA,NA,NA,79.25,"Battery",29.4921766561514
"99","S JOSE MILPITAS","CA","US","15 RANCH DR, SANTA CLARA, CA, 95035",0.234,3.7,107460,"485427.5942","0.15","3451.377066","78310.0315",4.5,140755.753,40042.60094,NA,NA,NA,79.25,"CHP",30.5091482649842
"100","S JOSE MILPITAS","CA","US","15 RANCH DR, SANTA CLARA, CA, 95035",0.234,3.7,107460,"485427.5942","0.15","3451.377066","78310.0315",0,140755.753,40042.60094,NA,NA,NA,79.25,"Fuel_Cell",0
