"","Technology","weighted_sum"
"667","Fuel_Cell",632.171900826446
"668","Fuel_Cell",313.79430740038
"669","Solar",190.441525423729
"670","Solar",40.4698884758364
"671","Battery",78.8033898305085
"672","Battery",23.2701858736059
"673","CHP",229.843220338983
"674","CHP",26.9799256505576
"675","Fuel_Cell",275.81186440678
"676","Fuel_Cell",0
"677","Solar",262.95652173913
"678","Solar",963.018652849741
"679","Battery",108.469565217391
"680","Battery",356.441968911917
"681","CHP",312.260869565217
"682","CHP",1094.33937823834
"683","Fuel_Cell",374.713043478261
"684","Fuel_Cell",0
"685","Solar",82.1305418719212
"686","Solar",90.95625
"687","Solar",183.507692307692
"688","Battery",34.4948275862069
"689","Battery",38.98125
"690","Battery",78.6461538461539
"691","CHP",98.5566502463054
"692","CHP",129.9375
"693","CHP",229.384615384615
"694","Fuel_Cell",118.267980295567
"695","Fuel_Cell",155.925
"696","Fuel_Cell",275.261538461538
"697","Solar",173.764285714286
"698","Solar",196.59880239521
"699","Battery",68.85
"700","Battery",83.5544910179641
"701","CHP",213.107142857143
"702","CHP",245.748502994012
"703","Fuel_Cell",255.728571428571
"704","Fuel_Cell",294.898203592814
"705","Solar",400.685538461538
"706","Battery",152.720307692308
"707","CHP",476.224615384615
"708","Fuel_Cell",571.469538461538
"709","Solar",341.495486935867
"710","Battery",137.911638954869
"711","CHP",410.451306413302
"712","Fuel_Cell",492.541567695962
"713","Solar",222.780952380952
"714","Battery",93.3714285714286
"715","CHP",278.47619047619
"716","Fuel_Cell",334.171428571429
"717","Solar",315.197930142303
"718","Battery",123.124191461837
"719","CHP",377.5808538163
"720","Fuel_Cell",453.09702457956
"721","Solar",173.764285714286
"722","Battery",68.85
"723","CHP",213.107142857143
"724","Fuel_Cell",255.728571428571
"725","Solar",532.516601714731
"726","Solar",229.712784588441
"727","Solar",585.70964028777
"728","Solar",419.800386847195
"729","Battery",202.159080280592
"730","Battery",93.5259194395797
"731","Battery",217.173237410072
"732","Battery",157.425145067698
"733","CHP",624.556508183944
"734","CHP",278.936952714536
"735","CHP",674.553237410072
"736","CHP",508.352030947776
"737","Fuel_Cell",749.467809820733
"738","Fuel_Cell",334.724343257443
"739","Fuel_Cell",809.463884892086
"740","Fuel_Cell",610.022437137331
"741","Solar",190.441525423729
"742","Battery",78.8033898305085
"743","CHP",229.843220338983
"744","Fuel_Cell",275.81186440678
"745","Solar",341.495486935867
"746","Solar",234.660550458716
"747","Battery",137.911638954869
"748","Battery",145.824770642202
"749","CHP",410.451306413302
"750","CHP",167.614678899083
"751","Fuel_Cell",492.541567695962
"752","Fuel_Cell",0
"753","Solar",248.845714285714
"754","Solar",281.202206896552
"755","Battery",98.2285714285714
"756","Battery",112.807862068966
"757","CHP",311.057142857143
"758","CHP",359.67724137931
"759","Fuel_Cell",373.268571428571
"760","Fuel_Cell",431.612689655172
"761","Solar",624.971121558093
"762","Solar",514.173913043478
"763","Solar",173.764285714286
"764","Solar",173.764285714286
"765","Battery",231.897179314977
"766","Battery",187.871237458194
"767","Battery",68.85
"768","Battery",68.85
"769","CHP",723.650772330423
"770","CHP",576.797658862876
"771","CHP",213.107142857143
"772","CHP",213.107142857143
"773","Fuel_Cell",868.380926796508
"774","Fuel_Cell",692.157190635451
"775","Fuel_Cell",255.728571428571
"776","Fuel_Cell",255.728571428571
"777","Solar",176.603571428571
"778","Solar",202.658823529412
"779","Solar",413.775
"780","Solar",196.59880239521
"781","Solar",190.441525423729
"782","Battery",109.960714285714
"783","Battery",83.3516129032258
"784","Battery",157.628571428571
"785","Battery",83.5544910179641
"786","Battery",78.8033898305085
"787","CHP",133.285714285714
"788","CHP",261.495256166983
"789","CHP",492.589285714286
